longitude,latitude,DBN,school,district,open_date,school_add,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,GrowthDecline,Growth,Decline
-73.9715957485,40.6942493182,13K691,Fort Greene Preparatory Academy,13,2010,"100 Clermont Avenue, Brooklyn, NY 11205",0,0,0,0,104,182,257,257,243,238,238,238,
-73.950716511,40.689588452,84K417,Urban Dove Team Charter School,13,2012,"600 Lafayette Avenue, Brooklyn NY 11216",0,0,0,0,0,0,101,171,229,298,298,298,
-73.965924,40.682396,84K508,Achievement First Endeavor,13,2006,"510 Waverly Avenue Brooklyn, NY 11238",0,50,100,275,323,535,673,849,974,1004,1004,1004,
-73.9461872116,40.6817074531,84K517,Leadership Preparatory Bedford Stuyvesant,13,2006,"141 Macon Street Brooklyn, NY 11216",100,200,275,350,420,470,535,620,698,772,772,772,
-73.9779584304,40.6954959071,84K536,Community Roots Charter School,13,2006,"51 Saint Edwards Street, Brooklyn, NY 11205",50,104,200,250,300,298,350,407,453,458,458,458,
-73.950117719,40.6903551379,84K702,Community Partnership School,13,2000,"114 Kosciusko Street Brooklyn, NY 11216",330,330,330,330,330,332,375,420,413,471,141,141,
-73.9855244244,40.6918574453,84K707,Brooklyn Prospect Charter Elementary School,13,2013,"80 Willoughby Street Brooklyn, NY 11201",0,0,0,0,202,303,438,613,771,929,929,929,
-73.9759767226,40.6974494561,84K752,Success Academy Fort Greene,13,2013,"101 Park Avenue, Brooklyn NY 11205",0,0,0,0,0,0,0,136,204,293,293,293,
-73.940569678,40.686296525,84K757,Unity Preparatory Charter School of Brooklyn,13,2013,"432 Monroe Street, Brooklyn, NY 11221",0,0,0,0,0,0,0,139,231,316,316,316,
-73.986873358,40.6924104775,84k766,International Charter School of New York,13,2015,"55 Willoughby Street Brooklyn, NY 11201",0,0,0,0,0,0,0,0,112,112,112,112,
-73.9667466041,40.6788573955,84K780,Brooklyn East Collegiate Charter School,13,2010,"80 Underhill Avenue Brooklyn, NY 11238",0,0,0,0,80,140,212,282,339,388,388,388,
-73.9717579032,40.6889354386,84K789,Compass Charter School,13,2014,"300 Adelphi Street, Brooklyn, NY 11205",0,0,0,0,0,0,0,0,108,154,154,154,
-73.9873019842,40.6971415777,84K803,Brooklyn Laboratory Charter School,13,2014,"250 Jay Street Brooklyn, NYNY 11201",0,0,0,0,0,0,0,0,126,245,245,245,
