GEO.Id,GEO.Id2,CENSUS TRACTS,Total; Families,Percent below poverty level; Families,Total; families with children under 18 ,Percent below poverty level; families with children under 18 
1400000US36047014200,36047014200,142,696,16.7,283,26.5
1400000US36047014300,36047014300,143,809,19.4,303,40.9
1400000US36047014500,36047014500,145,834,5,398,8
1400000US36047014700,36047014700,147,453,14.6,295,22.4
1400000US36047014800,36047014800,148,340,0,186,0
1400000US36047014900,36047014900,149,1155,2.8,591,2.4
1400000US36047015000,36047015000,150,475,2.5,204,0
1400000US36047015100,36047015100,151,928,0.9,485,1.6
1400000US36047015200,36047015200,152,641,5.3,241,7.9
1400000US36047015300,36047015300,153,714,0,297,0
1400000US36047015400,36047015400,154,0,0,0,0
1400000US36047015500,36047015500,155,961,1.4,540,2.4
1400000US36047015700,36047015700,157,1112,1.1,472,2.5
1400000US36047015900,36047015900,159,1217,1.3,533,3
1400000US36047016000,36047016000,160,997,20.5,538,32.7
1400000US36047016100,36047016100,161,691,4.9,233,14.6
1400000US36047016200,36047016200,162,637,5.8,377,7.2
1400000US36047016300,36047016300,163,733,3.5,343,2.9
1400000US36047016400,36047016400,164,196,8.2,158,10.1
1400000US36047016500,36047016500,165,1228,1.1,691,1.9
1400000US36047016600,36047016600,166,571,6.5,203,11.3
1400000US36047016700,36047016700,167,1101,11.4,519,0
1400000US36047016800,36047016800,168,402,9.7,154,14.3
1400000US36047016900,36047016900,169,1344,28.1,531,40.3
1400000US36047017000,36047017000,170,867,9.7,307,21.5
1400000US36047017100,36047017100,171,976,1.2,494,2.4
1400000US36047017200,36047017200,172,830,5.8,339,2.1
1400000US36047017400,36047017400,174,604,8.3,237,5.5
1400000US36047017500,36047017500,175,0,0,0,0
1400000US36047017600,36047017600,176,453,10.2,168,22
1400000US36047017700,36047017700,177,0,0,0,0
1400000US36047017800,36047017800,178,595,13.8,317,21.1
1400000US36047017900,36047017900,179,892,15,426,17.4
1400000US36047018000,36047018000,180,679,25.8,372,44.9
1400000US36047018100,36047018100,181,730,7.8,350,11.7
1400000US36047018200,36047018200,182,759,15.7,355,27
1400000US36047018300,36047018300,183,732,1.4,308,3.2
1400000US36047018400,36047018400,184,507,4.7,225,3.6
1400000US36047018501,36047018501,185.01,1164,47.9,796,55.5
1400000US36047018600,36047018600,186,540,4.4,243,4.5
1400000US36047018700,36047018700,187,326,1.5,197,2.5
1400000US36047018800,36047018800,188,788,6.2,416,7.5
1400000US36047019000,36047019000,190,1280,22.9,765,34.4
1400000US36047019100,36047019100,191,470,17.2,262,30.9
1400000US36047019200,36047019200,192,611,30.1,407,37.8
1400000US36047019300,36047019300,193,790,9.9,355,17.7
1400000US36047019400,36047019400,194,909,10.1,472,8.3
1400000US36047019500,36047019500,195,845,7.3,379,14.5
