GEO.Id,GEO.Id2,CENSUS TRACTS,Total; Families,Percent below poverty level; Families,All families  with  children under 18 ,Percent below poverty level; All families with children under 18 
1400000US36047027300,36047027300,273,718,25.9,537,28.3
1400000US36047027400,36047027400,274,697,7.7,301,7
1400000US36047027500,36047027500,275,820,11.5,436,21.6
1400000US36047027600,36047027600,276,921,8,473,8.2
1400000US36047027700,36047027700,277,873,30.8,588,37.1
1400000US36047027800,36047027800,278,713,10.2,260,19.2
1400000US36047027900,36047027900,279,747,22.4,462,33.1
1400000US36047028000,36047028000,280,391,2.3,191,4.7
1400000US36047028100,36047028100,281,975,35.1,749,38.3
1400000US36047028200,36047028200,282,791,24.7,321,43.9
1400000US36047028300,36047028300,283,901,43.7,485,61
1400000US36047028400,36047028400,284,875,11.2,406,8.6
1400000US36047028501,36047028501,285.01,130,18.5,84,28.6
1400000US36047028502,36047028502,285.02,786,38.2,468,51.9
1400000US36047028600,36047028600,286,1158,18.1,410,22
1400000US36047028700,36047028700,287,699,42.1,440,59.5
1400000US36047028800,36047028800,288,626,20.9,279,32.3
1400000US36047028900,36047028900,289,873,25,457,37.9
1400000US36047029000,36047029000,290,760,13,304,27.3
1400000US36047029100,36047029100,291,626,35.6,407,49.4
1400000US36047029200,36047029200,292,453,26.3,181,40.9
1400000US36047029300,36047029300,293,651,10.4,454,12.8
1400000US36047029400,36047029400,294,274,19.3,94,24.5
1400000US36047029500,36047029500,295,761,17.9,431,22.3
1400000US36047029600,36047029600,296,1087,13,375,24
1400000US36047029700,36047029700,297,784,16.2,384,26.6
1400000US36047029800,36047029800,298,903,6.9,442,11.3
1400000US36047029900,36047029900,299,433,25.4,311,35.4
1400000US36047030000,36047030000,300,883,9.6,428,12.1
1400000US36047030100,36047030100,301,567,21.5,322,29.2
1400000US36047030200,36047030200,302,1127,9.7,356,13.5
1400000US36047030300,36047030300,303,1100,40.3,873,42.8
1400000US36047030400,36047030400,304,1090,9.2,458,5.9
1400000US36047030500,36047030500,305,852,15,389,30.1
1400000US36047030600,36047030600,306,520,24.8,321,33.6
1400000US36047030700,36047030700,307,1305,41.2,828,53.4
1400000US36047030800,36047030800,308,498,3.8,130,8.5
1400000US36047030900,36047030900,309,400,39.3,339,46.3
1400000US36047031100,36047031100,311,581,26.7,334,43.1
1400000US36047031300,36047031300,313,1048,27.6,569,31.5
1400000US36047031400,36047031400,314,1143,4.9,396,14.1
1400000US36047031500,36047031500,315,1121,12.2,605,20.5
1400000US36047031701,36047031701,317.01,872,28.3,520,38.7
1400000US36047031702,36047031702,317.02,717,24.8,457,38.9
1400000US36047031900,36047031900,319,745,17.7,398,33.2
1400000US36047032100,36047032100,321,1300,20.8,820,25.2
1400000US36047032300,36047032300,323,993,15.1,459,17.9
1400000US36047032500,36047032500,325,1322,23,700,37.1
1400000US36047032600,36047032600,326,1708,27.4,1063,33.9
1400000US36047032700,36047032700,327,690,6.5,352,11.6
1400000US36047032800,36047032800,328,901,21.3,443,35.4
1400000US36047032900,36047032900,329,1288,22.7,552,35.7
1400000US36047033000,36047033000,330,1160,24.3,489,45.2
1400000US36047033100,36047033100,331,936,12.1,627,13.4
1400000US36047033300,36047033300,333,915,28.7,560,31.4
1400000US36047033500,36047033500,335,603,17.1,359,25.3
1400000US36047033600,36047033600,336,1202,11,509,15.5
1400000US36047033700,36047033700,337,943,22.6,524,34.7
1400000US36047033900,36047033900,339,1050,17,601,25
1400000US36047034000,36047034000,340,523,23.5,319,22.6
1400000US36047034100,36047034100,341,489,15.1,225,20
1400000US36047034200,36047034200,342,1514,24.4,686,37.6
1400000US36047034300,36047034300,343,1267,36.4,865,47.1
