Longitude,Latitude,DBN,school,district,open_date,school_add,Enrollment,2006_1,2007_1,2008_1,2009_1,2010_1,2011_1,2012_1,2013_1,2014_1,2015_1,Growth/dec,Growth,Decline,Year opened
-73.9842563962,40.6973613449,13K439,Brooklyn International High School,13,1999,"49 Flatbush Avenue Extension, Brooklyn, NY 11201",331,358,391,405,414,388,367,351,343,345,363,32,32,,
-73.9883870316,40.6944434473,13K483,The Urban Assembly School for Law and Justice,13,2004,"283 Adams Street, Brooklyn, NY 11201",222,319,409,450,465,458,450,440,449,448,458,236,236,,
-73.9710171376,40.6907417775,13K492,"Academy of Arts and Letters, Urban Assembly",13,2006,"225 Adelphi Street, Brooklyn, NY 11205",0,86,170,277,291,307,424,485,490,494,506,506,506,,
-73.9623180975,40.6785555332,13K499,Acorn Community High School,13,1996,"561 Grand Avenue, Brooklyn, NY 11238",695,709,749,740,696,744,731,712,623,504,374,-321,,-321,
-73.9868088371,40.6969636695,13K509,Freedom Academy High School,13,,"116 Nassau Street, Brooklyn, NY 11201",288,313,315,316,314,261,218,0,0,0,0,-288,,-288,
-73.9883233685,40.6948375851,13K527,Urban Assembly Institute of Math and Science for Young Women,13,2006,"283 Adams Street, Brooklyn, NY 11201",0,76,146,250,317,397,469,498,508,470,463,463,463,,
-73.9484221335,40.6845982097,13K553,Brooklyn Academy High School,13,2003,"832 Marcy Avenue, Brooklyn, NY 11216",323,256,304,257,217,195,184,155,160,176,0,-323,,-323,
-73.9666205074,40.6783802893,13K571,MS 571,13,,"80 Underhill Ave, Brooklyn, NY 11238",284,279,273,249,213,169,88,0,0,0,0,-284,,-284,
-73.9475353252,40.6847204727,13K575,Bedford Stuyvesant Preparatory High School,13,,"832 Marcy Ave, Brooklyn, NY 11216",195,176,138,115,112,130,152,107,123,143,120,-75,,-75,
-73.9536921885,40.6853247177,13K595,Bedford Academy High School,13,2003,"1119 Bedford Avenue, Brooklyn, NY 11216",290,342,325,336,342,363,365,371,361,364,357,67,67,,
-73.9585825483,40.6920934241,13K596,M.S. 596 Peace Academy,13,2007,"300 Willoughby Avenue, Brooklyn, NY 11205",0,0,75,138,195,178,155,117,88,47,49,49,49,,2007
-73.9856138191,40.6950888592,13K605,George Westinghouse Career and Technical Education High School,13,1996,"105 Tech Place, Brooklyn, NY 11201",1054,1012,896,917,963,929,927,817,702,634,603,-451,,-451,
-73.9584167089,40.6914259765,13K616,Brooklyn High School for Leadership and Community Service,13,2008,"300 Willoughby Avenue, Brooklyn, NY 11205",0,0,0,151,211,216,212,222,233,219,199,199,199,,
-73.9687510115,40.6954559046,13K670,Benjamin Banneker Academy,13,1996,"71-77 Clinton Avenue, Brooklyn, NY 11205",939,998,924,865,829,832,895,900,907,916,911,-28,,-28,
-73.9855864132,40.6957872517,13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",13,2009,"105 Tech Place, Brooklyn, NY 11201",0,0,0,0,124,246,335,426,451,458,444,444,444,,
-73.9715957485,40.6942493182,13K691,Fort Greene Preparatory Academy,13,2010,"100 Clermont Avenue, Brooklyn, NY 11205",0,0,0,0,0,104,182,257,257,243,238,238,238,,2010
-73.950716511,40.689588452,84K417,Urban Dove Team Charter School,13,2012,"600 Lafayette Avenue, Brooklyn NY 11216",0,0,0,0,0,0,0,101,171,229,298,298,298,,2012
-73.965924,40.682396,84K508,Achievement First Endeavor,13,2006,"510 Waverly Avenue Brooklyn, NY 11238",0,0,50,100,275,323,535,673,849,974,1004,1004,1004,,2006
-73.9461872116,40.6817074531,84K517,Leadership Preparatory Bedford Stuyvesant,13,2006,"141 Macon Street Brooklyn, NY 11216",0,100,200,275,350,420,470,535,620,698,772,772,772,,2006
-73.9779584304,40.6954959071,84K536,Community Roots Charter School,13,2006,"51 Saint Edwards Street, Brooklyn, NY 11205",0,50,104,200,250,300,298,350,407,453,458,458,458,,2006
-73.950117719,40.6903551379,84K702,Community Partnership School,13,2000,"114 Kosciusko Street Brooklyn, NY 11216",330,330,330,330,330,330,332,375,420,413,471,141,141,,2000
-73.9855244244,40.6918574453,84K707,Brooklyn Prospect Charter Elementary School,13,2013,"80 Willoughby Street Brooklyn, NY 11201",0,0,0,0,0,202,303,438,613,771,929,929,929,,2009
-73.9759767226,40.6974494561,84K752,Success Academy Fort Greene,13,2013,"101 Park Avenue, Brooklyn NY 11205",0,0,0,0,0,0,0,0,136,204,293,293,293,,2013
-73.940569678,40.686296525,84K757,Unity Preparatory Charter School of Brooklyn,13,2013,"432 Monroe Street, Brooklyn, NY 11221",0,0,0,0,0,0,0,0,139,231,316,316,316,,2013
-73.986873358,40.6924104775,84k766,International Charter School of New York,13,2015,"55 Willoughby Street Brooklyn, NY 11201",0,0,0,0,0,0,0,0,0,112,112,112,112,,2015
-73.9667466041,40.6788573955,84K780,Brooklyn East Collegiate Charter School,13,2010,"80 Underhill Avenue Brooklyn, NY 11238",0,0,0,0,0,80,140,212,282,339,388,388,388,,2010
-73.9717579032,40.6889354386,84K789,Compass Charter School,13,,"300 Adelphi Street, Brooklyn, NY 11205",0,0,0,0,0,0,0,0,0,108,154,154,154,,2014
-73.9873019842,40.6971415777,84K803,Brooklyn Laboratory Charter School,13,2014,"250 Jay Street Brooklyn, NYNY 11201",0,0,0,0,0,0,0,0,0,126,245,245,245,,2014
